x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
268.47681940643815,-895.0572041347623,53.47286727372557,-138.0268890036815,2.854511575294639,0,2,0,0,0
264.7739431494265,-898.4518778752536,53.5180741045624,-137.7856652667897,4.695147667530898,0,2,0,0,0
261.01766876730835,-901.8004460847005,53.56157064717263,-142.24613687554077,5.095102653098324,0,2,0,0,0
256.79254039615626,-904.5412040986121,53.557838818989694,-154.35038465835754,4.764662569100461,0,2,0,0,0
251.9565980147454,-906.0106055531651,53.52044290769845,-174.6458630783524,4.446602218670105,0,2,0,0,0
246.91604954039212,-905.451720289886,53.50387397315353,157.99380622425656,4.014873212047388,0,2,0,0,0
242.8412889581523,-902.5211809873581,53.50930616259575,130.19879236286695,3.8461142624897087,0,2,0,0,0
240.0587265174836,-898.3112452793866,53.514581059105694,117.7775428546725,3.910567139956983,0,2,0,0,0
237.7512682293309,-893.8409471148625,53.535725593566895,117.20060532824509,3.9118216620950585,0,2,0,0,0
235.16673500963952,-889.5414684247226,53.59965938143432,125.14587655312063,3.9356365824881254,0,3,0,0,0
232.04468632634962,-885.6056860107929,53.6331057921052,130.33733989256717,3.5375730114336417,0,3,0,0,0
228.7006699286867,-881.884832222946,53.62415536586195,131.33609811714462,0.5531257393829009,0,1,0,0,0
225.31214331486262,-878.1847671242431,53.65040306560695,133.76330635760652,4.079118578470898,0,1,0,0,0
221.49009716219734,-874.8290777662769,53.66481038276106,142.99288423232983,5.467428105502667,0,1,0,0,0
217.373097859032,-871.9218278350309,53.67853621672839,144.3096403548888,6.021080997934583,0,1,0,0,0
213.36387207283406,-868.7754185348749,53.724641017615795,137.69558148791162,5.38466985941055,0,1,0,0,0
209.75086017564172,-865.2454140046611,53.75826246663928,133.69536978846887,3.193712307221677,0,2,0,0,0
206.30297260551015,-861.5953714195639,53.790473407134414,132.21856561949184,2.2444162040067717,0,2,0,0,0
202.90801934537012,-857.8574849050492,53.8429029006511,131.95194494731496,4.1802329466203485,0,2,0,0,0
199.5027448758483,-854.1273952079937,53.88191219884902,131.97313324302283,5.343455297028649,0,2,0,0,0
196.09659494872903,-850.3906045211479,53.92387280147523,131.76111635792805,6.0478845557495955,0,2,0,0,0
192.7013205200201,-846.5790241016075,53.96584977861494,130.37765604584013,6.281517353434725,0,2,0,0,0
189.43328845797805,-842.6306769466028,54.02429058495909,126.83487648526145,6.618568849058867,0,2,0,0,0
186.65659089724068,-838.4454619865865,54.056402465328574,117.51094526995705,6.2702925309940705,0,2,0,0,0
